Error output is also redirected to the log file.
�Fraction нейроны0: 7765/332Размер list_of_neurons: 205
Размер list_of_synapses: 10105
Fraction синапсы 445: -12671/2176
Fraction синапсы 446: -21250/19199
Fraction синапсы 447: 3329/14336
Fraction синапсы 448: 11009/5633
Fraction синапсы 449: -26368/13315
Fraction синапсы 450: 771/15106
Fraction синапсы 451: -13565/25603
Fraction синапсы 452: 19200/18689
Fraction синапсы 453: 17663/25343
Fraction синапсы 454: 563/1058
Fraction синапсы 455: -31747/16638
Fraction синапсы 456: 2218/3839
Fraction синапсы 457: 6147/27907
Fraction синапсы 458: -27389/1793
Fraction синапсы 459: 1280/11011
Fraction синапсы 460: 111/40
Fraction синапсы 461: -12672/11137
Fraction синапсы 462: 39/50
Fraction синапсы 463: 10751/5248
Fraction синапсы 464: 18943/2816
Fraction синапсы 465: -18179/21502
Fraction синапсы 466: -1024/11007
Fraction синапсы 467: 14077/25343
Fraction синапсы 468: 12/113
Fraction синапсы 469: 20224/4355
Fraction синапсы 470: -100/13
Fraction синапсы 471: 91/90
Fraction синапсы 472: -20224/515
Fraction синапсы 473: -163/1792
Fraction синапсы 474: -41/77
Fraction синапсы 475: 16641/9986
Fraction синапсы 476: -9725/16128
Fraction синапсы 477: 27137/22785
Fraction синапсы 478: -3767/3035
Fraction синапсы 479: 14334/22271
Fraction синапсы 480: 27137/5889
Fraction синапсы 481: 32512/1025
Fraction синапсы 482: -18/17
Fraction синапсы 483: 18177/1027
Fraction синапсы 484: 111/61
Fraction синапсы 485: -18176/23295
Fraction синапсы 486: -11/1
Fraction синапсы 487: -11777/2688
Fraction синапсы 488: 9/107
Fraction синапсы 489: 23297/31491
Fraction синапсы 490: 29951/17408
Fraction синапсы 491: 59/76
Fraction синапсы 492: -29438/19969
Fraction синапсы 493: 518/137
Fraction синапсы 494: 20733/5374
Fraction синапсы 495: -1963/967
Fraction синапсы 496: -27/7
Fraction синапсы 497: -4/81
Fraction синапсы 498: 29183/13054
Fraction синапсы 499: 2467/1001
Fraction синапсы 500: 30973/24063
Fraction синапсы 501: -13057/30719
Fraction синапсы 502: 16127/20734
Fraction синапсы 503: 17664/7169
Fraction синапсы 504: -5887/19456
Fraction синапсы 505: 4/3
Fraction синапсы 506: 32/7
Fraction синапсы 507: -30464/22783
Fraction синапсы 508: -435/1408
Fraction синапсы 509: 1/1
Fraction синапсы 510: -23297/19453
Fraction синапсы 511: -64/35
Fraction синапсы 512: 28161/3328
Fraction синапсы 513: -91/115
Fraction синапсы 514: 24832/1281
Fraction синапсы 515: 95/4
Fraction синапсы 516: -257/3072
Fraction синапсы 517: 29/11
Fraction синапсы 518: -16898/13053
Fraction синапсы 519: 23/2
Fraction синапсы 520: 15358/25341
Fraction синапсы 521: 99/4
Fraction синапсы 522: -22019/8448
Fraction синапсы 523: 107/73
Fraction синапсы 524: -5119/7254
Fraction синапсы 525: 12032/1663
Fraction синапсы 526: 37/81
Fraction синапсы 527: -19967/32515
Fraction синапсы 528: 13695/14719
Fraction синапсы 529: 93/68
Fraction синапсы 530: 8576/6657
Fraction синапсы 531: 81/112
Fraction синапсы 532: 31999/20222
Fraction синапсы 533: -7808/10369
Fraction синапсы 534: -30722/26879
Fraction синапсы 535: -79/2
Fraction синапсы 536: 3/107
Fraction синапсы 537: -26881/19712
Fraction синапсы 538: -11264/3843
Fraction синапсы 539: -8189/15617
Fraction синапсы 540: -24833/20992
Fraction синапсы 541: 4607/6912
Fraction синапсы 542: 77/86
Fraction синапсы 543: -22786/25343
Fraction синапсы 544: 13567/19710
Fraction синапсы 545: -29438/7425
Fraction синапсы 546: -1187/2141
Fraction синапсы 547: -122/91
Fraction синапсы 548: 18689/32515
Fraction синапсы 549: 16129/28673
Fraction синапсы 550: -23299/11263
Fraction синапсы 551: 4353/18946
Fraction синапсы 552: 4352/22017
Fraction синапсы 553: 47/96
Fraction синапсы 554: -19199/21762
Fraction синапсы 555: 27394/30211
Fraction синапсы 556: -2714/4915
Fraction синапсы 557: -18178/7421
Fraction синапсы 558: 97/12
Fraction синапсы 559: 841/1152
Fraction синапсы 560: -1/5
Fraction синапсы 561: 95/56
Fraction синапсы 562: 41/96
Fraction синапсы 563: 21248/19711
Fraction синапсы 564: 21501/17662
Fraction синапсы 565: 12800/26369
Fraction синапсы 566: 25/28
Fraction синапсы 567: 18434/17665
Fraction синапсы 568: 13824/24319
Fraction синапсы 569: -26879/17410
Fraction синапсы 570: 26883/22528
Fraction синапсы 571: 20479/26367
Fraction синапсы 572: 5504/1281
Fraction синапсы 573: -85/113
Fraction синапсы 574: -9344/13057
Fraction синапсы 575: 27392/32509
Fraction синапсы 576: -14081/10496
Fraction синапсы 577: 6143/30975
Fraction синапсы 578: 30720/11519
Fraction синапсы 579: -56/99
Fraction синапсы 580: 4610/24323
Fraction синапсы 581: -3586/8959
Fraction синапсы 582: 99/125
Fraction синапсы 583: -29182/3329
Fraction синапсы 584: -21505/19199
Fraction синапсы 585: 3838/20223
Fraction синапсы 586: 2633/2304
Fraction синапсы 587: -2537/2234
Fraction синапсы 588: 5376/15619
Fraction синапсы 589: 16893/7423
Fraction синапсы 590: -12799/11393
Fraction синапсы 591: -257/21248
Fraction синапсы 592: 14081/10496
Fraction синапсы 593: 770/23043
Fraction синапсы 594: -115/28
Fraction синапсы 595: 6273/13952
Fraction синапсы 596: 23295/6143
Fraction синапсы 597: 33/116
